#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,40,0.3,MM,MM,MM,MM,MM,MM,,MM,159
2024,05,18,17,20,0.3,MM,MM,MM,MM,MM,MM,,MM,238
2024,05,18,17,00,0.3,MM,MM,MM,MM,MM,MM,,MM,150
2024,05,18,16,40,0.2,MM,MM,MM,MM,MM,MM,,MM,146
2024,05,18,16,20,0.2,MM,MM,MM,MM,MM,MM,,MM,176
2024,05,18,16,00,0.2,MM,MM,MM,MM,MM,MM,,MM,118
2024,05,18,15,40,0.2,MM,MM,MM,MM,MM,MM,,MM,30
2024,05,18,15,20,0.2,MM,MM,MM,MM,MM,MM,,MM,113
2024,05,18,15,00,0.2,MM,MM,MM,MM,MM,MM,,MM,204
2024,05,18,14,40,0.2,MM,MM,MM,MM,MM,MM,,MM,289
2024,05,18,14,20,0.2,MM,MM,MM,MM,MM,MM,,MM,148
2024,05,18,14,00,0.2,MM,MM,MM,MM,MM,MM,,MM,110
2024,05,18,13,40,0.2,MM,MM,MM,MM,MM,MM,,MM,192
2024,05,18,13,20,0.2,MM,MM,MM,MM,MM,MM,,MM,107
2024,05,18,13,00,0.2,MM,MM,MM,MM,MM,MM,,MM,154
2024,05,18,12,40,0.2,MM,MM,MM,MM,MM,MM,,MM,168
2024,05,18,12,20,0.2,MM,MM,MM,MM,MM,MM,,MM,93
2024,05,18,12,00,0.2,MM,MM,MM,MM,MM,MM,,MM,207
2024,05,18,11,40,0.2,MM,MM,MM,MM,MM,MM,,MM,203
2024,05,18,11,20,0.2,MM,MM,MM,MM,MM,MM,,MM,113
2024,05,18,11,00,0.2,MM,MM,MM,MM,MM,MM,,MM,119
2024,05,18,10,40,0.1,MM,MM,MM,MM,MM,MM,,MM,200
2024,05,18,10,20,0.2,MM,MM,MM,MM,MM,MM,,MM,284
2024,05,18,10,00,0.2,MM,MM,MM,MM,MM,MM,,MM,322
2024,05,18,09,40,0.2,MM,MM,MM,MM,MM,MM,,MM,236
2024,05,18,09,20,0.2,MM,MM,MM,MM,MM,MM,,MM,177
2024,05,18,09,00,0.2,MM,MM,MM,MM,MM,MM,,MM,189
2024,05,18,08,40,0.2,MM,MM,MM,MM,MM,MM,,MM,270
2024,05,18,08,20,0.2,MM,MM,MM,MM,MM,MM,,MM,121
2024,05,18,08,00,0.2,MM,MM,MM,MM,MM,MM,,MM,185
2024,05,18,07,40,0.2,MM,MM,MM,MM,MM,MM,,MM,194
2024,05,18,07,20,0.2,MM,MM,MM,MM,MM,MM,,MM,200
2024,05,18,07,00,0.2,MM,MM,MM,MM,MM,MM,,MM,167
2024,05,18,06,40,0.2,MM,MM,MM,MM,MM,MM,,MM,191
2024,05,18,06,20,0.2,MM,MM,MM,MM,MM,MM,,MM,195
2024,05,18,06,00,0.2,MM,MM,MM,MM,MM,MM,,MM,155
