#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,1.9,0.8,9.1,1.8,5.9,ENE,E,VERY_STEEP,5.5,91
2024,05,18,16,40,2.0,1.0,8.3,1.8,6.7,E,E,STEEP,5.6,98
2024,05,18,16,10,2.0,0.9,9.1,1.8,7.1,E,E,STEEP,5.5,101
2024,05,18,15,40,1.9,0.0,MM,1.9,6.2,MM,E,VERY_STEEP,5.3,83
2024,05,18,15,10,2.0,0.7,9.1,1.8,7.7,ESE,E,STEEP,5.4,95
2024,05,18,14,40,1.9,0.7,10.0,1.8,6.7,E,E,STEEP,5.4,91
2024,05,18,14,10,2.0,0.0,MM,2.0,7.1,MM,E,STEEP,5.4,92
2024,05,18,13,40,1.8,0.7,9.1,1.7,7.1,NE,ESE,STEEP,5.4,104
2024,05,18,13,10,1.9,0.0,MM,1.9,7.7,MM,E,STEEP,5.5,94
2024,05,18,12,40,1.7,0.0,MM,1.7,7.1,MM,E,STEEP,5.2,100
2024,05,18,12,10,1.8,0.8,8.3,1.6,6.7,E,E,STEEP,5.3,97
2024,05,18,11,40,1.8,1.1,7.7,1.4,6.2,ESE,ESE,STEEP,5.6,103
2024,05,18,11,10,1.7,1.0,9.1,1.4,6.7,E,ESE,STEEP,5.4,109
2024,05,18,10,40,1.7,0.8,9.1,1.5,6.7,NE,E,STEEP,5.6,101
2024,05,18,10,10,1.6,1.0,7.7,1.2,6.7,E,ESE,STEEP,5.4,103
2024,05,18,09,40,1.6,1.2,7.7,1.2,5.9,ESE,E,AVERAGE,5.5,108
2024,05,18,09,10,1.5,1.1,7.1,1.0,5.0,E,E,STEEP,5.4,99
2024,05,18,08,40,1.6,1.1,7.1,1.2,5.9,ESE,E,STEEP,5.5,104
2024,05,18,08,10,1.7,1.0,7.7,1.3,6.7,E,E,STEEP,5.4,94
2024,05,18,07,40,1.6,0.9,7.7,1.3,6.7,E,E,AVERAGE,5.5,85
2024,05,18,07,10,1.7,1.1,8.3,1.3,7.1,E,E,AVERAGE,5.7,90
2024,05,18,06,40,1.7,1.1,7.1,1.3,5.6,E,E,STEEP,5.4,101
2024,05,18,06,10,1.7,1.0,7.7,1.3,6.7,E,E,AVERAGE,5.5,92
2024,05,18,05,40,1.6,0.9,9.1,1.4,6.2,ENE,ESE,STEEP,5.3,109
2024,05,18,05,10,1.6,0.8,9.1,1.4,7.1,ESE,E,STEEP,5.3,91
2024,05,18,04,40,1.7,0.9,10.0,1.4,7.1,E,E,STEEP,5.5,97
2024,05,18,04,10,1.6,1.0,7.1,1.2,5.0,E,E,STEEP,5.4,90
2024,05,18,03,40,1.7,0.9,10.0,1.4,7.1,ESE,E,STEEP,5.4,100
2024,05,18,03,10,1.7,0.9,7.7,1.5,6.2,E,E,VERY_STEEP,5.4,85
2024,05,18,02,40,1.7,0.0,MM,1.7,7.1,MM,E,STEEP,5.4,96
2024,05,18,02,10,1.7,1.0,8.3,1.4,6.7,E,ESE,STEEP,5.5,103
2024,05,18,01,40,1.6,0.9,7.7,1.3,6.7,E,ESE,AVERAGE,5.2,88
2024,05,18,01,10,1.6,0.9,8.3,1.4,7.1,E,ESE,STEEP,5.4,103
2024,05,18,00,40,1.6,0.9,8.3,1.3,6.2,E,E,STEEP,5.4,93
2024,05,18,00,10,1.6,0.9,7.7,1.3,6.7,E,E,AVERAGE,5.3,99
2024,05,17,23,40,1.6,0.7,10.0,1.4,6.7,E,E,STEEP,5.3,95
2024,05,17,23,10,1.6,1.1,7.1,1.2,6.2,E,E,STEEP,5.6,97
2024,05,17,22,40,1.6,1.2,7.1,1.1,5.6,ESE,E,STEEP,5.5,104
2024,05,17,22,10,1.6,1.1,6.7,1.1,5.6,ESE,E,STEEP,5.4,107
2024,05,17,21,40,1.6,1.1,7.7,1.2,6.2,ESE,E,STEEP,5.5,96
2024,05,17,21,10,1.7,1.1,7.1,1.3,6.2,E,E,VERY_STEEP,5.5,99
2024,05,17,20,40,1.7,1.1,7.1,1.2,5.9,E,E,STEEP,5.5,92
2024,05,17,20,10,1.7,1.1,10.0,1.3,6.2,ESE,E,VERY_STEEP,5.5,90
2024,05,17,19,40,1.7,1.1,7.7,1.3,5.3,E,E,AVERAGE,5.4,87
2024,05,17,19,10,1.6,1.0,7.7,1.3,6.7,E,E,STEEP,5.4,97
2024,05,17,18,40,1.7,1.3,6.7,1.1,4.8,E,E,STEEP,5.5,87
2024,05,17,18,10,1.8,1.3,7.7,1.2,4.8,E,E,STEEP,5.4,100
2024,05,17,17,40,1.8,1.2,7.7,1.4,5.0,E,E,STEEP,5.4,81
2024,05,17,17,10,1.8,1.2,7.1,1.4,6.2,E,E,STEEP,5.6,92
