#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,26,1.8,1.4,16.7,1.1,5.9,SSW,S,SWELL,8.6,193
2024,05,18,16,56,1.6,1.3,15.4,1.0,7.1,SSW,SSW,SWELL,8.7,192
2024,05,18,16,26,1.7,1.4,16.7,1.0,9.9,SSW,W,SWELL,9.1,196
2024,05,18,15,56,1.5,1.2,14.3,0.9,9.9,SSW,WSW,SWELL,8.7,196
2024,05,18,15,26,1.6,1.2,14.3,1.0,9.9,SSW,W,SWELL,8.4,196
2024,05,18,14,56,1.4,1.0,14.3,1.0,7.1,SSW,S,SWELL,7.5,203
2024,05,18,14,26,1.6,1.3,15.4,1.0,5.9,SSW,S,SWELL,8.1,200
2024,05,18,13,56,1.7,1.4,16.7,1.1,5.9,SSW,S,SWELL,8.5,196
2024,05,18,13,26,1.7,1.4,14.3,1.0,6.2,SSW,SSW,SWELL,8.7,199
2024,05,18,12,56,1.7,1.3,15.4,1.1,9.9,SSW,WSW,SWELL,8.2,196
2024,05,18,12,26,1.8,1.4,16.7,1.0,9.9,SSW,W,SWELL,8.9,192
2024,05,18,11,56,1.6,1.3,16.7,0.9,7.1,SSW,SSW,SWELL,9.1,196
2024,05,18,11,26,1.6,1.3,15.4,0.9,6.2,S,S,SWELL,9.4,189
2024,05,18,10,56,1.5,1.1,16.7,1.0,9.9,S,SW,SWELL,8.3,189
2024,05,18,10,26,1.6,1.2,16.7,1.0,9.9,SSW,SW,SWELL,8.7,195
2024,05,18,09,56,1.5,1.1,15.4,1.0,9.9,SSW,WSW,SWELL,8.5,192
2024,05,18,09,26,1.6,1.2,16.7,1.0,9.9,S,W,SWELL,8.6,190
2024,05,18,08,56,1.7,1.4,14.3,0.9,6.2,SSW,SSW,SWELL,9.2,197
2024,05,18,08,26,1.6,1.3,15.4,1.0,6.2,SSW,S,SWELL,8.8,193
2024,05,18,07,56,1.7,1.4,15.4,1.0,9.9,SSW,W,SWELL,8.9,193
2024,05,18,07,26,1.7,1.3,13.3,1.0,9.9,SSW,SW,SWELL,8.7,192
2024,05,18,06,56,1.5,1.2,14.3,1.0,9.9,S,WNW,SWELL,8.0,182
2024,05,18,06,26,1.7,1.4,16.7,1.0,5.6,S,S,SWELL,8.8,189
2024,05,18,05,56,1.7,1.3,13.3,1.1,9.9,S,SW,SWELL,8.3,190
2024,05,18,05,26,1.9,1.6,14.3,1.0,5.9,S,SSW,SWELL,9.1,188
2024,05,18,04,56,1.7,1.3,15.4,1.1,5.3,SSW,SSW,SWELL,8.3,197
2024,05,18,04,26,1.7,1.4,13.3,1.0,9.9,SSW,WSW,SWELL,8.7,196
2024,05,18,03,56,1.7,1.4,12.5,1.0,5.9,S,SSW,SWELL,8.5,189
2024,05,18,03,26,1.7,1.3,16.7,1.0,5.9,SSW,SSW,SWELL,8.5,192
