#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,40,0.3,MM,MM,MM,MM,MM,MM,,MM,55
2024,05,18,17,30,0.3,MM,MM,MM,MM,MM,MM,,MM,49
2024,05,18,17,20,0.3,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,17,10,0.3,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,16,50,0.3,MM,MM,MM,MM,MM,MM,,MM,55
2024,05,18,16,40,0.2,MM,MM,MM,MM,MM,MM,,MM,55
2024,05,18,16,30,0.3,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,16,20,0.3,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,16,10,0.3,MM,MM,MM,MM,MM,MM,,MM,47
2024,05,18,15,50,0.2,MM,MM,MM,MM,MM,MM,,MM,50
2024,05,18,15,40,0.2,MM,MM,MM,MM,MM,MM,,MM,45
2024,05,18,15,30,0.2,MM,MM,MM,MM,MM,MM,,MM,45
2024,05,18,15,20,0.2,MM,MM,MM,MM,MM,MM,,MM,38
2024,05,18,15,10,0.2,MM,MM,MM,MM,MM,MM,,MM,35
2024,05,18,14,50,0.1,MM,MM,MM,MM,MM,MM,,MM,36
2024,05,18,14,40,0.1,MM,MM,MM,MM,MM,MM,,MM,36
2024,05,18,14,30,0.1,MM,MM,MM,MM,MM,MM,,MM,42
2024,05,18,14,20,0.1,MM,MM,MM,MM,MM,MM,,MM,41
2024,05,18,14,10,0.1,MM,MM,MM,MM,MM,MM,,MM,40
2024,05,18,13,50,0.2,MM,MM,MM,MM,MM,MM,,MM,38
2024,05,18,13,40,0.1,MM,MM,MM,MM,MM,MM,,MM,45
2024,05,18,13,30,0.1,MM,MM,MM,MM,MM,MM,,MM,41
2024,05,18,13,20,0.1,MM,MM,MM,MM,MM,MM,,MM,37
2024,05,18,13,10,0.1,MM,MM,MM,MM,MM,MM,,MM,50
2024,05,18,12,50,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,12,40,0.1,MM,MM,MM,MM,MM,MM,,MM,24
2024,05,18,12,30,0.1,MM,MM,MM,MM,MM,MM,,MM,55
2024,05,18,12,20,0.1,MM,MM,MM,MM,MM,MM,,MM,52
2024,05,18,12,10,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,11,50,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,11,40,0.1,MM,MM,MM,MM,MM,MM,,MM,49
2024,05,18,11,30,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,11,20,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,11,10,0.1,MM,MM,MM,MM,MM,MM,,MM,52
2024,05,18,10,50,0.1,MM,MM,MM,MM,MM,MM,,MM,58
2024,05,18,10,40,0.1,MM,MM,MM,MM,MM,MM,,MM,57
2024,05,18,10,30,0.1,MM,MM,MM,MM,MM,MM,,MM,52
2024,05,18,10,20,0.1,MM,MM,MM,MM,MM,MM,,MM,52
2024,05,18,10,10,0.1,MM,MM,MM,MM,MM,MM,,MM,53
2024,05,18,09,50,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,09,40,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,09,30,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,09,20,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,09,10,0.1,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,08,50,0.1,MM,MM,MM,MM,MM,MM,,MM,57
2024,05,18,08,40,0.1,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,08,30,0.1,MM,MM,MM,MM,MM,MM,,MM,57
2024,05,18,08,20,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,08,10,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,07,50,0.1,MM,MM,MM,MM,MM,MM,,MM,75
2024,05,18,07,40,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,07,30,0.1,MM,MM,MM,MM,MM,MM,,MM,357
2024,05,18,07,20,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,07,10,0.1,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,06,50,0.1,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,06,40,0.1,MM,MM,MM,MM,MM,MM,,MM,65
2024,05,18,06,30,0.2,MM,MM,MM,MM,MM,MM,,MM,54
2024,05,18,06,20,0.1,MM,MM,MM,MM,MM,MM,,MM,58
2024,05,18,06,10,0.1,MM,MM,MM,MM,MM,MM,,MM,58
2024,05,18,05,50,0.2,MM,MM,MM,MM,MM,MM,,MM,58
2024,05,18,05,40,0.2,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,05,30,0.1,MM,MM,MM,MM,MM,MM,,MM,59
2024,05,18,05,20,0.1,MM,MM,MM,MM,MM,MM,,MM,55
2024,05,18,05,10,0.1,MM,MM,MM,MM,MM,MM,,MM,339
2024,05,18,04,50,0.1,MM,MM,MM,MM,MM,MM,,MM,56
2024,05,18,04,40,0.1,MM,MM,MM,MM,MM,MM,,MM,26
2024,05,18,04,30,0.1,MM,MM,MM,MM,MM,MM,,MM,40
2024,05,18,04,20,0.1,MM,MM,MM,MM,MM,MM,,MM,47
2024,05,18,04,10,0.0,MM,MM,MM,MM,MM,MM,,MM,29
2024,05,18,03,50,0.0,MM,MM,MM,MM,MM,MM,,MM,62
2024,05,18,03,40,0.0,MM,MM,MM,MM,MM,MM,,MM,63
2024,05,18,03,30,0.0,MM,MM,MM,MM,MM,MM,,MM,64
2024,05,18,03,20,0.0,MM,MM,MM,MM,MM,MM,,MM,61
