#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,1.3,1.3,8.3,0.3,3.8,ENE,E,AVERAGE,6.3,77
2024,05,18,16,40,1.1,1.1,8.3,0.3,4.0,E,E,AVERAGE,6.0,84
2024,05,18,16,10,1.2,1.1,7.7,0.3,4.0,ENE,E,AVERAGE,6.0,69
2024,05,18,15,40,1.1,1.1,7.7,0.3,3.7,ENE,ENE,AVERAGE,6.1,64
2024,05,18,15,10,1.2,1.2,8.3,0.3,3.8,ENE,E,AVERAGE,6.2,73
2024,05,18,14,40,1.1,1.1,8.3,0.3,3.6,E,ENE,AVERAGE,5.9,87
2024,05,18,14,10,1.2,1.2,8.3,0.4,3.8,ENE,E,AVERAGE,6.0,67
2024,05,18,13,40,1.1,1.1,8.3,0.4,3.4,ENE,ENE,AVERAGE,5.7,74
2024,05,18,13,10,1.3,1.3,9.1,0.3,3.6,E,E,SWELL,6.2,86
2024,05,18,12,40,1.4,1.3,9.1,0.3,3.7,E,ENE,SWELL,6.4,84
2024,05,18,12,10,1.2,1.1,8.3,0.4,4.0,ENE,E,AVERAGE,5.9,73
2024,05,18,11,40,1.3,1.3,8.3,0.3,4.0,ENE,ENE,AVERAGE,6.2,75
2024,05,18,11,10,1.3,1.2,9.1,0.3,3.8,E,ENE,SWELL,6.1,80
2024,05,18,10,40,1.3,1.2,9.1,0.3,3.7,E,ENE,SWELL,6.0,85
2024,05,18,10,10,1.3,1.3,8.3,0.3,3.8,ENE,ENE,AVERAGE,6.2,70
2024,05,18,09,40,1.4,1.3,7.1,0.3,3.7,ENE,ENE,STEEP,6.1,76
2024,05,18,09,10,1.4,1.3,8.3,0.3,3.8,ENE,ENE,AVERAGE,6.2,73
2024,05,18,08,40,1.3,1.2,8.3,0.4,3.8,ENE,ENE,AVERAGE,5.9,69
2024,05,18,08,10,1.3,1.3,9.1,0.3,3.8,ENE,ENE,SWELL,6.0,68
2024,05,18,07,40,1.3,1.2,8.3,0.4,4.0,E,E,AVERAGE,6.1,90
2024,05,18,07,10,1.4,1.3,7.7,0.3,3.7,ENE,ENE,AVERAGE,6.2,69
2024,05,18,06,40,1.3,1.2,7.7,0.3,3.6,ENE,NE,AVERAGE,6.2,76
2024,05,18,06,10,1.3,1.3,7.7,0.3,3.3,E,NE,AVERAGE,6.1,89
2024,05,18,05,40,1.4,1.4,8.3,0.3,3.4,E,ENE,AVERAGE,6.2,89
2024,05,18,05,10,1.4,1.3,7.7,0.3,3.6,ENE,NE,AVERAGE,6.1,78
2024,05,18,04,40,1.4,1.3,6.7,0.4,3.8,ENE,NE,STEEP,6.2,73
2024,05,18,04,10,1.2,1.2,7.7,0.4,4.0,E,ENE,AVERAGE,6.0,96
2024,05,18,03,40,1.2,1.2,7.7,0.4,4.0,E,ENE,AVERAGE,5.9,86
2024,05,18,03,10,1.3,1.2,7.7,0.4,3.7,E,ENE,AVERAGE,5.9,88
2024,05,18,02,40,1.3,1.2,7.1,0.3,3.6,E,ENE,AVERAGE,5.9,81
2024,05,18,02,10,1.4,1.3,7.7,0.4,3.0,E,ENE,AVERAGE,6.1,83
2024,05,18,01,40,1.3,1.3,7.1,0.4,4.0,E,NE,STEEP,6.0,82
2024,05,18,01,10,1.2,1.1,7.1,0.4,3.7,ENE,NE,AVERAGE,5.6,68
2024,05,18,00,40,1.3,1.2,8.3,0.4,3.3,E,NE,AVERAGE,5.8,94
2024,05,18,00,10,1.3,1.2,9.1,0.4,4.0,E,NE,SWELL,5.7,101
2024,05,17,23,40,1.2,1.2,6.7,0.5,4.0,ENE,NE,STEEP,5.4,61
2024,05,17,23,10,1.3,1.2,6.7,0.5,3.8,ENE,ENE,STEEP,5.4,69
2024,05,17,22,40,1.2,1.2,7.1,0.4,4.0,ENE,NE,AVERAGE,5.5,65
2024,05,17,22,10,1.1,1.1,7.1,0.4,4.0,ENE,NE,AVERAGE,5.2,63
2024,05,17,21,40,1.2,1.1,7.1,0.5,4.0,ENE,NE,AVERAGE,5.3,67
2024,05,17,21,10,1.3,1.2,6.7,0.5,3.8,NE,NE,STEEP,5.3,55
2024,05,17,20,40,1.2,1.1,7.1,0.5,3.6,ENE,NE,AVERAGE,5.1,68
