#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,30,1.4,1.0,20.0,1.1,9.5,WSW,WNW,AVERAGE,6.3,254
2024,05,18,17,00,1.5,1.0,11.8,1.1,9.1,W,WNW,AVERAGE,6.3,264
2024,05,18,16,30,1.5,1.0,11.1,1.1,9.5,W,WNW,AVERAGE,6.3,290
2024,05,18,16,00,1.6,1.1,20.0,1.1,9.5,WSW,WNW,SWELL,6.8,249
2024,05,18,15,30,1.4,0.9,11.8,1.1,9.5,W,WNW,AVERAGE,6.0,291
2024,05,18,15,00,1.4,0.9,20.0,1.1,9.5,WSW,WNW,AVERAGE,6.4,282
2024,05,18,14,30,1.5,0.9,10.0,1.2,9.1,W,W,AVERAGE,6.2,280
2024,05,18,14,00,1.6,1.0,10.0,1.3,9.1,W,WNW,AVERAGE,6.5,283
2024,05,18,13,30,1.8,1.0,10.5,1.4,9.1,W,WNW,AVERAGE,6.8,283
2024,05,18,13,00,1.9,1.0,10.0,1.6,9.5,W,W,AVERAGE,6.7,280
2024,05,18,12,30,1.8,1.1,10.5,1.4,8.3,W,WNW,AVERAGE,6.7,277
2024,05,18,12,00,1.8,1.0,10.0,1.5,9.5,WNW,WNW,AVERAGE,6.5,283
2024,05,18,11,30,1.7,1.0,10.0,1.4,7.1,W,WNW,AVERAGE,6.6,281
2024,05,18,11,00,1.6,1.1,10.5,1.2,6.9,W,WNW,AVERAGE,6.9,279
2024,05,18,10,30,1.7,1.1,10.5,1.3,9.5,W,WNW,AVERAGE,7.3,282
2024,05,18,10,00,1.5,1.0,10.5,1.1,9.5,WNW,WNW,AVERAGE,7.0,283
2024,05,18,09,30,1.5,1.0,10.0,1.1,9.1,WNW,W,AVERAGE,7.2,281
2024,05,18,09,00,1.5,0.9,12.5,1.1,9.5,WSW,WNW,AVERAGE,7.0,258
2024,05,18,08,30,1.5,1.0,10.0,1.1,9.5,WNW,WNW,AVERAGE,7.5,288
2024,05,18,08,00,1.4,0.9,10.0,1.0,9.5,WNW,WNW,AVERAGE,7.4,282
2024,05,18,07,30,1.3,1.0,11.8,0.9,9.5,W,WNW,SWELL,7.4,270
2024,05,18,07,00,1.1,0.8,13.3,0.8,9.5,WSW,WNW,SWELL,7.1,242
2024,05,18,06,30,1.2,0.8,12.5,0.8,8.7,W,W,SWELL,7.2,274
2024,05,18,06,00,1.2,0.8,13.3,0.8,9.1,WSW,WNW,SWELL,7.0,245
2024,05,18,05,30,1.1,0.7,12.5,0.9,8.7,W,WNW,AVERAGE,6.5,266
2024,05,18,05,00,1.2,0.8,13.3,0.9,9.5,WSW,W,AVERAGE,6.7,281
2024,05,18,04,30,1.2,0.8,12.5,0.8,8.7,W,WNW,SWELL,7.2,259
2024,05,18,04,00,1.2,0.8,12.5,0.9,9.1,W,WNW,AVERAGE,7.0,267
2024,05,18,03,30,1.3,0.8,12.5,0.9,9.1,W,WNW,AVERAGE,7.5,262
2024,05,18,03,00,1.2,0.8,13.3,0.9,9.5,WSW,WNW,AVERAGE,7.3,250
2024,05,18,02,30,1.2,0.7,12.5,1.0,9.1,W,WNW,AVERAGE,6.9,267
2024,05,18,02,00,1.2,0.7,12.5,1.0,9.5,WSW,WNW,AVERAGE,6.7,255
2024,05,18,01,30,1.3,0.7,12.5,1.1,9.1,W,WNW,AVERAGE,6.7,260
2024,05,18,01,00,1.4,0.8,10.0,1.1,9.5,WNW,WNW,AVERAGE,6.8,283
2024,05,18,00,30,1.4,0.9,13.3,1.1,9.5,WSW,WNW,AVERAGE,6.9,248
2024,05,18,00,00,1.4,0.9,13.3,1.0,9.5,WSW,WNW,AVERAGE,6.9,252
2024,05,17,23,30,1.4,0.9,12.5,1.1,9.1,WSW,W,AVERAGE,6.8,258
2024,05,17,23,00,1.3,0.8,10.0,1.1,9.1,W,WNW,AVERAGE,6.5,283
2024,05,17,22,30,1.5,0.8,12.5,1.2,9.5,W,W,AVERAGE,6.7,281
2024,05,17,22,00,1.5,0.9,13.3,1.2,9.1,W,WNW,AVERAGE,7.2,260
2024,05,17,21,30,1.4,0.8,12.5,1.1,8.3,WSW,WNW,AVERAGE,6.8,258
2024,05,17,21,00,1.6,1.0,12.5,1.2,9.1,W,WNW,AVERAGE,7.3,259
2024,05,17,20,30,1.6,1.0,13.3,1.3,9.1,W,WNW,AVERAGE,7.0,260
2024,05,17,20,00,1.4,0.8,13.3,1.2,9.5,WSW,W,AVERAGE,6.7,253
2024,05,17,19,30,1.4,0.9,13.3,1.2,8.7,W,WNW,AVERAGE,6.7,265
2024,05,17,19,00,1.4,0.8,13.3,1.2,9.1,W,WNW,AVERAGE,6.7,259
2024,05,17,18,30,1.4,0.8,13.3,1.1,9.1,W,WNW,AVERAGE,6.5,259
2024,05,17,18,00,1.4,0.8,13.3,1.1,9.1,WSW,WNW,AVERAGE,6.6,256
2024,05,17,17,30,1.4,0.8,13.3,1.1,8.7,W,WNW,AVERAGE,6.4,285
2024,05,17,17,00,1.4,0.8,13.3,1.1,9.5,W,W,AVERAGE,6.5,270
2024,05,17,16,30,1.4,0.8,13.3,1.2,8.3,W,W,AVERAGE,6.4,261
2024,05,17,16,00,1.4,0.7,13.3,1.2,8.0,WSW,WNW,AVERAGE,6.2,250
