#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.2,122
2024,05,18,16,40,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.1,108
2024,05,18,16,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.1,118
2024,05,18,15,40,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.2,120
2024,05,18,15,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.2,101
2024,05,18,14,40,2.2,MM,MM,MM,MM,MM,MM,STEEP,6.4,109
2024,05,18,14,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.2,104
2024,05,18,13,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.3,126
2024,05,18,13,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,6.2,109
2024,05,18,12,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.3,114
2024,05,18,12,10,2.2,MM,MM,MM,MM,MM,MM,STEEP,6.3,95
2024,05,18,11,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.4,96
2024,05,18,11,10,1.9,MM,MM,MM,MM,MM,MM,STEEP,6.1,109
2024,05,18,10,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.5,106
2024,05,18,10,10,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.4,95
2024,05,18,09,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.4,102
2024,05,18,09,10,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.7,101
2024,05,18,08,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.4,108
2024,05,18,08,10,2.1,MM,MM,MM,MM,MM,MM,STEEP,6.3,108
2024,05,18,07,40,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.5,102
2024,05,18,07,10,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.4,103
2024,05,18,06,40,2.5,MM,MM,MM,MM,MM,MM,STEEP,6.6,108
2024,05,18,06,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.6,113
2024,05,18,05,40,2.4,MM,MM,MM,MM,MM,MM,,6.6,303
2024,05,18,05,10,2.4,MM,MM,MM,MM,MM,MM,,6.6,301
2024,05,18,04,40,2.5,MM,MM,MM,MM,MM,MM,,6.7,305
2024,05,18,04,10,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.5,98
2024,05,18,03,40,2.4,MM,MM,MM,MM,MM,MM,,6.4,307
2024,05,18,03,10,2.5,MM,MM,MM,MM,MM,MM,,6.3,295
2024,05,18,02,40,2.6,MM,MM,MM,MM,MM,MM,STEEP,6.4,119
2024,05,18,02,10,2.6,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.5,96
2024,05,18,01,40,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.2,97
2024,05,18,01,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.5,100
2024,05,18,00,40,2.4,MM,MM,MM,MM,MM,MM,,6.4,303
2024,05,18,00,10,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.2,122
2024,05,17,23,40,2.4,MM,MM,MM,MM,MM,MM,,6.5,291
2024,05,17,23,10,2.5,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.4,118
2024,05,17,22,40,2.3,MM,MM,MM,MM,MM,MM,,6.3,297
2024,05,17,22,10,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.2,107
2024,05,17,21,40,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.3,95
2024,05,17,21,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.6,88
2024,05,17,20,40,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.6,99
2024,05,17,20,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.5,116
2024,05,17,19,40,2.4,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.4,112
2024,05,17,19,10,2.6,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.7,111
2024,05,17,18,40,2.5,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.5,122
2024,05,17,18,10,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.5,110
2024,05,17,17,40,2.6,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.6,95
2024,05,17,17,10,2.4,MM,MM,MM,MM,MM,MM,,6.5,306
2024,05,17,16,40,2.8,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.8,111
2024,05,17,16,10,2.8,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.7,108
2024,05,17,15,40,2.9,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.8,106
2024,05,17,15,10,2.5,MM,MM,MM,MM,MM,MM,,6.8,309
2024,05,17,14,40,2.8,MM,MM,MM,MM,MM,MM,,6.8,300
2024,05,17,14,10,2.8,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.9,99
2024,05,17,13,40,2.8,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.7,107
2024,05,17,13,10,2.7,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.6,117
2024,05,17,12,40,2.9,MM,MM,MM,MM,MM,MM,AVERAGE,6.9,311
2024,05,17,12,10,2.9,MM,MM,MM,MM,MM,MM,,6.8,310
2024,05,17,11,40,2.6,MM,MM,MM,MM,MM,MM,AVERAGE,6.6,305
2024,05,17,11,10,2.9,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.7,113
2024,05,17,10,40,2.7,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.6,116
2024,05,17,10,10,2.8,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.6,122
2024,05,17,09,40,2.6,MM,MM,MM,MM,MM,MM,,6.3,303
2024,05,17,09,10,2.7,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.4,131
2024,05,17,08,40,2.6,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.5,112
2024,05,17,08,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.3,88
2024,05,17,07,40,2.5,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.3,131
2024,05,17,07,10,2.6,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.3,114
2024,05,17,06,40,2.5,MM,MM,MM,MM,MM,MM,STEEP,6.3,114
2024,05,17,06,10,2.4,MM,MM,MM,MM,MM,MM,,6.4,298
2024,05,17,05,40,2.5,MM,MM,MM,MM,MM,MM,,6.4,299
2024,05,17,05,10,2.6,MM,MM,MM,MM,MM,MM,STEEP,6.4,127
2024,05,17,04,40,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.1,102
2024,05,17,04,10,2.4,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.1,122
2024,05,17,03,40,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.2,126
2024,05,17,03,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.4,130
2024,05,17,02,40,2.5,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.3,120
2024,05,17,02,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.2,121
2024,05,17,01,40,2.4,MM,MM,MM,MM,MM,MM,STEEP,6.1,131
2024,05,17,01,10,2.5,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.5,118
2024,05,17,00,40,2.4,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.1,121
2024,05,17,00,10,2.2,MM,MM,MM,MM,MM,MM,STEEP,6.0,127
2024,05,16,23,40,2.4,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.9,117
2024,05,16,23,10,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.0,111
2024,05,16,22,40,2.2,MM,MM,MM,MM,MM,MM,STEEP,5.9,127
2024,05,16,22,10,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.0,125
2024,05,16,21,40,2.3,MM,MM,MM,MM,MM,MM,STEEP,6.2,120
2024,05,16,21,10,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,6.0,128
2024,05,16,20,40,2.3,MM,MM,MM,MM,MM,MM,STEEP,5.9,116
2024,05,16,20,10,2.2,MM,MM,MM,MM,MM,MM,STEEP,5.9,125
2024,05,16,19,40,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.7,118
2024,05,16,19,10,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.8,121
2024,05,16,18,40,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.8,113
2024,05,16,18,10,2.2,MM,MM,MM,MM,MM,MM,STEEP,5.8,118
2024,05,16,17,40,2.3,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.9,116
2024,05,16,17,10,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.8,115
2024,05,16,16,40,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.7,111
2024,05,16,16,10,2.4,MM,MM,MM,MM,MM,MM,STEEP,5.9,105
2024,05,16,15,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,5.9,102
2024,05,16,15,10,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.8,109
2024,05,16,14,40,2.1,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.8,134
2024,05,16,14,10,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.8,126
2024,05,16,13,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,5.6,102
2024,05,16,13,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,5.7,112
2024,05,16,12,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,5.6,111
2024,05,16,12,10,2.1,MM,MM,MM,MM,MM,MM,STEEP,5.8,114
2024,05,16,11,40,2.2,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.7,108
2024,05,16,11,10,2.1,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.7,110
2024,05,16,10,40,2.1,MM,MM,MM,MM,MM,MM,STEEP,5.6,105
2024,05,16,10,10,2.0,MM,MM,MM,MM,MM,MM,STEEP,5.6,100
2024,05,16,09,40,1.9,MM,MM,MM,MM,MM,MM,STEEP,5.6,102
