#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,26,1.1,1.0,7.7,0.5,2.7,NE,ENE,AVERAGE,5.5,47
2024,05,18,16,56,1.1,1.0,7.7,0.4,2.7,NE,ENE,AVERAGE,5.5,57
2024,05,18,16,26,1.1,1.0,8.3,0.5,4.5,NE,NE,AVERAGE,5.5,47
2024,05,18,15,56,1.0,0.9,8.3,0.5,4.2,NE,NNE,SWELL,5.3,45
2024,05,18,15,26,1.0,0.9,7.7,0.4,4.8,NE,NE,AVERAGE,5.4,47
2024,05,18,14,56,1.0,0.9,7.7,0.4,4.8,NE,NE,AVERAGE,5.4,55
2024,05,18,14,26,0.9,0.8,8.3,0.4,3.3,NE,NE,SWELL,5.3,38
2024,05,18,13,56,0.9,0.9,7.7,0.4,4.2,ENE,NE,AVERAGE,5.4,64
2024,05,18,13,26,1.0,1.0,7.7,0.4,4.0,NE,NNE,AVERAGE,5.6,45
2024,05,18,12,56,1.0,0.9,7.1,0.4,3.7,E,NNE,AVERAGE,5.4,86
2024,05,18,12,26,1.0,0.9,7.1,0.4,3.2,NE,NNE,AVERAGE,5.2,51
2024,05,18,11,56,1.0,0.9,7.1,0.4,4.3,ENE,NNE,AVERAGE,5.3,72
2024,05,18,11,26,1.0,0.9,7.1,0.4,4.0,ENE,NNE,AVERAGE,5.1,66
2024,05,18,10,56,1.0,0.9,7.7,0.4,4.0,ENE,NNE,AVERAGE,5.3,62
2024,05,18,10,26,1.1,1.0,7.7,0.4,3.7,NE,N,AVERAGE,5.2,54
2024,05,18,09,56,1.0,0.9,7.1,0.4,4.0,NE,NNE,AVERAGE,5.3,55
2024,05,18,09,26,1.0,0.9,8.3,0.3,3.0,ENE,NNE,SWELL,5.4,58
2024,05,18,08,56,1.0,0.9,8.3,0.3,3.1,ENE,N,SWELL,5.2,58
2024,05,18,08,26,1.0,0.9,7.7,0.4,4.0,NE,NNE,AVERAGE,5.2,51
2024,05,18,07,56,1.0,0.9,7.7,0.4,3.1,ENE,N,AVERAGE,5.1,69
2024,05,18,07,26,1.0,0.9,7.1,0.4,3.8,NE,NNE,AVERAGE,5.0,48
2024,05,18,06,56,0.9,0.8,6.7,0.4,3.4,NE,N,AVERAGE,4.9,38
2024,05,18,06,26,1.0,0.9,7.7,0.4,3.8,NE,NNE,AVERAGE,5.1,45
2024,05,18,05,56,1.0,0.9,6.7,0.4,3.8,NE,NNE,AVERAGE,5.0,35
2024,05,18,05,26,1.0,0.9,6.2,0.4,3.8,NE,NNE,STEEP,5.0,35
2024,05,18,04,56,1.1,1.0,8.3,0.4,3.4,NE,N,SWELL,5.1,49
2024,05,18,04,26,1.1,1.0,6.7,0.5,4.0,NE,N,STEEP,5.1,40
2024,05,18,03,56,1.1,1.0,7.1,0.5,3.6,NE,N,AVERAGE,4.9,40
2024,05,18,03,26,1.1,1.0,6.7,0.5,4.0,NE,NNE,STEEP,5.0,42
2024,05,18,02,56,1.1,1.0,7.1,0.5,2.9,NNE,N,AVERAGE,5.1,31
2024,05,18,02,26,1.0,0.9,7.1,0.5,3.7,NE,N,AVERAGE,4.9,41
2024,05,18,01,56,1.1,1.0,7.1,0.5,3.4,NNE,N,AVERAGE,4.9,33
2024,05,18,01,26,1.1,1.0,7.7,0.5,3.4,NE,N,AVERAGE,4.9,35
2024,05,18,00,56,1.1,0.9,7.1,0.5,4.0,NE,N,AVERAGE,4.6,48
2024,05,18,00,26,1.1,0.9,7.1,0.7,4.8,NE,NNE,AVERAGE,4.6,37
2024,05,17,23,56,1.1,0.8,6.7,0.8,5.3,NE,NNE,STEEP,4.6,35
2024,05,17,23,26,1.1,0.8,6.7,0.8,4.8,NE,NNE,STEEP,4.4,42
2024,05,17,22,56,1.2,0.8,6.7,0.9,5.3,NNE,NNE,STEEP,4.6,30
2024,05,17,22,26,1.2,0.8,7.1,0.9,5.3,NE,NNE,AVERAGE,4.6,42
2024,05,17,21,56,1.1,0.9,7.1,0.7,4.8,NE,NNE,AVERAGE,4.6,37
2024,05,17,21,26,1.2,1.0,7.1,0.7,4.0,NE,NNE,AVERAGE,4.6,45
2024,05,17,20,56,1.2,0.8,7.7,0.9,5.6,NE,NNE,AVERAGE,4.7,34
2024,05,17,20,26,1.2,1.0,6.7,0.8,4.5,NE,NNE,STEEP,4.7,41
2024,05,17,19,56,1.2,1.0,7.1,0.7,4.3,NNE,N,AVERAGE,4.5,33
2024,05,17,19,26,1.2,0.8,7.1,0.9,4.5,NE,N,AVERAGE,4.6,41
2024,05,17,18,56,1.3,0.9,7.7,0.8,4.5,NE,N,AVERAGE,4.7,49
2024,05,17,18,26,1.3,1.0,7.1,0.9,4.8,NNE,NNE,STEEP,4.7,26
2024,05,17,17,56,1.3,1.0,7.1,0.9,4.5,NE,NNE,STEEP,4.8,48
2024,05,17,17,26,1.4,1.1,7.1,0.8,4.3,NNE,NNE,STEEP,4.7,31
2024,05,17,16,56,1.4,1.1,7.1,1.0,3.8,NE,NNE,STEEP,4.8,42
2024,05,17,16,26,1.5,1.2,6.7,0.8,4.0,NNE,NNE,STEEP,4.7,24
2024,05,17,15,56,1.6,1.4,7.1,0.8,3.7,NNE,N,STEEP,4.8,28
2024,05,17,15,26,1.5,1.2,7.1,0.9,4.8,NNE,NE,STEEP,4.7,31
2024,05,17,14,56,1.6,1.4,6.7,0.8,3.6,NNE,N,STEEP,4.6,27
