#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,40,0.5,MM,MM,MM,MM,MM,MM,,MM,87
2024,05,18,17,30,0.5,MM,MM,MM,MM,MM,MM,,MM,84
2024,05,18,17,20,0.6,MM,MM,MM,MM,MM,MM,,MM,83
2024,05,18,17,10,0.6,MM,MM,MM,MM,MM,MM,,MM,86
2024,05,18,17,00,0.6,MM,MM,MM,MM,MM,MM,,MM,86
2024,05,18,16,50,0.6,MM,MM,MM,MM,MM,MM,,MM,86
2024,05,18,16,40,0.6,MM,MM,MM,MM,MM,MM,,MM,84
2024,05,18,16,30,0.6,MM,MM,MM,MM,MM,MM,,MM,88
2024,05,18,16,20,0.6,MM,MM,MM,MM,MM,MM,,MM,93
2024,05,18,16,10,0.6,MM,MM,MM,MM,MM,MM,,MM,97
2024,05,18,16,00,0.6,MM,MM,MM,MM,MM,MM,,MM,98
2024,05,18,15,50,0.6,MM,MM,MM,MM,MM,MM,,MM,96
2024,05,18,15,40,0.6,MM,MM,MM,MM,MM,MM,,MM,90
2024,05,18,15,30,0.6,MM,MM,MM,MM,MM,MM,,MM,82
2024,05,18,15,20,0.6,MM,MM,MM,MM,MM,MM,,MM,77
2024,05,18,15,10,0.6,MM,MM,MM,MM,MM,MM,,MM,77
2024,05,18,15,00,0.7,MM,MM,MM,MM,MM,MM,,MM,76
2024,05,18,14,50,0.6,MM,MM,MM,MM,MM,MM,,MM,75
2024,05,18,14,40,0.6,MM,MM,MM,MM,MM,MM,,MM,74
2024,05,18,14,30,0.7,MM,MM,MM,MM,MM,MM,,MM,69
2024,05,18,14,20,0.6,MM,MM,MM,MM,MM,MM,,MM,74
2024,05,18,14,10,0.7,MM,MM,MM,MM,MM,MM,,MM,91
2024,05,18,14,00,0.7,MM,MM,MM,MM,MM,MM,,MM,96
2024,05,18,13,50,0.6,MM,MM,MM,MM,MM,MM,,MM,94
2024,05,18,13,40,0.7,MM,MM,MM,MM,MM,MM,,MM,92
2024,05,18,13,30,0.7,MM,MM,MM,MM,MM,MM,,MM,89
2024,05,18,13,20,0.7,MM,MM,MM,MM,MM,MM,,MM,86
2024,05,18,13,10,0.7,MM,MM,MM,MM,MM,MM,,MM,80
2024,05,18,13,00,0.7,MM,MM,MM,MM,MM,MM,,MM,77
2024,05,18,12,50,0.7,MM,MM,MM,MM,MM,MM,,MM,77
2024,05,18,12,40,0.7,MM,MM,MM,MM,MM,MM,,MM,80
2024,05,18,12,30,0.7,MM,MM,MM,MM,MM,MM,,MM,82
2024,05,18,12,20,0.7,MM,MM,MM,MM,MM,MM,,MM,86
2024,05,18,12,10,0.7,MM,MM,MM,MM,MM,MM,,MM,87
2024,05,18,12,00,0.7,MM,MM,MM,MM,MM,MM,,MM,89
2024,05,18,11,50,0.7,MM,MM,MM,MM,MM,MM,,MM,95
2024,05,18,11,40,0.7,MM,MM,MM,MM,MM,MM,,MM,97
2024,05,18,11,30,0.8,MM,MM,MM,MM,MM,MM,VERY_STEEP,MM,96
2024,05,18,11,20,0.7,MM,MM,MM,MM,MM,MM,,MM,95
2024,05,18,11,10,0.6,MM,MM,MM,MM,MM,MM,,MM,93
2024,05,18,11,00,0.7,MM,MM,MM,MM,MM,MM,,MM,92
2024,05,18,10,50,0.7,MM,MM,MM,MM,MM,MM,,MM,91
2024,05,18,10,40,0.7,MM,MM,MM,MM,MM,MM,,MM,90
2024,05,18,10,30,0.7,MM,MM,MM,MM,MM,MM,,MM,84
2024,05,18,10,20,0.7,MM,MM,MM,MM,MM,MM,,MM,80
2024,05,18,10,10,0.7,MM,MM,MM,MM,MM,MM,,MM,78
2024,05,18,10,00,0.7,MM,MM,MM,MM,MM,MM,,MM,80
2024,05,18,09,50,0.6,MM,MM,MM,MM,MM,MM,,MM,82
2024,05,18,09,40,0.7,MM,MM,MM,MM,MM,MM,,MM,80
2024,05,18,09,30,0.7,MM,MM,MM,MM,MM,MM,,MM,81
2024,05,18,09,20,0.6,MM,MM,MM,MM,MM,MM,,MM,85
2024,05,18,09,10,0.7,MM,MM,MM,MM,MM,MM,,MM,88
