#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,16,40,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,16,10,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,15,40,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,15,10,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,14,40,0.2,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,18,14,10,0.2,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,18,13,40,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,13,10,0.2,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,18,12,40,0.2,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,18,12,10,0.2,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,18,11,40,0.2,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,18,11,10,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,18,10,40,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,18,10,10,0.1,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,18,09,40,0.1,MM,MM,MM,MM,MM,MM,,2.8,-99
2024,05,18,09,10,0.1,MM,MM,MM,MM,MM,MM,,2.8,-99
2024,05,18,08,40,0.1,MM,MM,MM,MM,MM,MM,,2.9,-99
2024,05,18,08,10,0.1,MM,MM,MM,MM,MM,MM,,2.9,-99
2024,05,18,07,40,0.1,MM,MM,MM,MM,MM,MM,,3.1,-99
2024,05,18,07,10,0.1,MM,MM,MM,MM,MM,MM,,3.1,-99
2024,05,18,06,40,0.2,MM,MM,MM,MM,MM,MM,,3.1,-99
2024,05,18,06,10,0.2,MM,MM,MM,MM,MM,MM,,3.1,-99
2024,05,18,05,40,0.2,MM,MM,MM,MM,MM,MM,,3.1,-99
2024,05,18,05,10,0.2,MM,MM,MM,MM,MM,MM,,3.1,-99
2024,05,18,04,40,0.2,MM,MM,MM,MM,MM,MM,,3.0,-99
2024,05,18,04,10,0.2,MM,MM,MM,MM,MM,MM,,3.0,-99
2024,05,18,03,40,0.2,MM,MM,MM,MM,MM,MM,,3.0,-99
2024,05,18,03,10,0.2,MM,MM,MM,MM,MM,MM,,2.9,-99
2024,05,18,02,40,0.2,MM,MM,MM,MM,MM,MM,,2.9,-99
2024,05,18,02,10,0.2,MM,MM,MM,MM,MM,MM,,3.0,-99
2024,05,18,01,40,0.2,MM,MM,MM,MM,MM,MM,,3.0,-99
2024,05,18,01,10,0.3,0.0,5.3,0.3,3.4,WNW,S,,3.1,169
2024,05,18,00,40,0.3,0.1,6.2,0.3,3.6,SE,S,,3.1,170
2024,05,18,00,10,0.3,0.1,5.9,0.3,3.7,E,SSE,,3.2,168
2024,05,17,23,40,0.3,0.1,6.2,0.3,3.7,SW,S,,3.1,172
2024,05,17,23,10,0.3,0.1,5.6,0.3,3.7,WSW,SSE,,3.1,164
2024,05,17,22,40,0.4,0.1,5.9,0.3,3.8,SSW,SSE,,3.2,167
2024,05,17,22,10,0.3,0.1,5.9,0.3,3.7,NE,SSE,,3.2,164
2024,05,17,21,40,0.3,0.1,6.2,0.3,3.7,NNE,S,,3.2,169
2024,05,17,21,10,0.3,0.0,MM,0.3,3.8,MM,S,,3.2,170
2024,05,17,20,40,0.3,0.1,8.3,0.3,3.6,ESE,SSE,,3.2,161
2024,05,17,20,10,0.4,0.1,6.7,0.3,3.8,SE,SSE,,3.3,162
2024,05,17,19,40,0.4,0.2,6.7,0.4,4.0,SSW,SSE,,3.4,163
2024,05,17,19,10,0.4,0.2,5.0,0.3,4.0,SE,SSE,,3.3,168
2024,05,17,18,40,0.4,0.2,4.2,0.3,3.3,SSE,SSE,,3.4,162
2024,05,17,18,10,0.5,0.3,5.6,0.4,4.0,NW,SSE,,3.6,160
2024,05,17,17,40,0.5,0.3,4.3,0.4,4.0,SSE,SSE,,3.5,161
2024,05,17,17,10,0.5,0.4,4.3,0.4,3.8,SSE,SSE,,3.6,156
2024,05,17,16,40,0.5,0.4,4.2,0.4,3.4,SSE,SSE,,3.6,159
2024,05,17,16,10,0.5,0.4,4.3,0.4,3.6,SSE,SSE,,3.6,161
2024,05,17,15,40,0.6,0.1,12.9,0.6,4.3,ENE,SSE,,3.5,153
2024,05,17,15,10,0.6,0.1,10.8,0.6,3.8,SSW,SSE,,3.3,152
2024,05,17,14,40,0.5,0.0,6.2,0.5,3.7,S,SSE,,3.2,151
2024,05,17,14,10,0.5,0.0,7.1,0.5,3.8,NE,SSE,,3.0,149
2024,05,17,13,40,0.4,0.0,7.1,0.4,3.4,SE,SSE,,3.1,152
2024,05,17,13,10,0.4,0.0,5.9,0.4,3.2,SSW,SSE,,2.9,155
2024,05,17,12,40,0.3,0.0,5.9,0.3,3.3,S,SSE,,2.9,148
2024,05,17,12,10,0.3,0.0,6.2,0.3,3.0,SSW,SSE,,2.8,152
2024,05,17,11,40,0.3,0.0,5.9,0.3,2.9,SSE,SSE,,2.7,163
2024,05,17,11,10,0.3,0.0,7.7,0.3,3.1,SSE,SSE,,2.8,153
2024,05,17,10,40,0.4,0.0,6.2,0.4,3.2,NNW,SSE,,2.9,162
2024,05,17,10,10,0.4,0.0,6.7,0.4,3.1,WNW,SSE,,2.9,159
2024,05,17,09,40,0.4,0.0,7.1,0.4,3.2,SSE,SSE,,2.9,162
2024,05,17,09,10,0.4,0.1,11.4,0.4,3.1,S,SSE,,2.8,157
2024,05,17,08,40,0.4,0.0,5.9,0.4,2.9,ESE,SSE,,2.7,158
2024,05,17,08,10,0.3,0.0,8.3,0.3,2.6,SW,SE,,2.5,145
2024,05,17,07,40,0.3,0.0,12.1,0.3,2.5,SE,NW,,2.5,310
2024,05,17,07,10,0.3,0.0,5.6,0.3,2.5,NW,NW,,2.5,321
2024,05,17,06,40,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,06,10,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,05,40,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,05,10,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,04,40,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,04,10,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,03,40,0.2,MM,MM,MM,MM,MM,MM,,2.3,-99
2024,05,17,03,10,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,02,40,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,02,10,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,01,40,0.2,MM,MM,MM,MM,MM,MM,,2.4,-99
2024,05,17,01,10,0.1,MM,MM,MM,MM,MM,MM,,2.5,-99
2024,05,17,00,40,0.1,MM,MM,MM,MM,MM,MM,,2.6,-99
2024,05,17,00,10,0.1,MM,MM,MM,MM,MM,MM,,2.7,-99
2024,05,16,23,40,0.1,MM,MM,MM,MM,MM,MM,,2.8,-99
2024,05,16,23,10,0.1,MM,MM,MM,MM,MM,MM,,2.8,-99
2024,05,16,22,40,0.1,MM,MM,MM,MM,MM,MM,,2.8,-99
