#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,0.7,0.7,10.0,0.2,3.6,ESE,SSE,,6.0,110
2024,05,18,16,40,0.7,0.7,9.1,0.2,3.7,E,SE,,6.3,85
2024,05,18,16,10,0.8,0.8,8.3,0.2,3.6,E,SSE,,6.2,87
2024,05,18,15,40,0.8,0.7,8.3,0.2,3.8,E,SSE,,6.3,92
2024,05,18,15,10,0.8,0.7,10.8,0.2,3.7,ESE,SSE,,6.1,113
2024,05,18,14,40,0.7,0.7,11.4,0.2,3.8,E,SSE,,6.1,94
2024,05,18,14,10,0.8,0.7,8.3,0.2,3.8,E,SSE,,6.0,90
2024,05,18,13,40,0.7,0.7,8.3,0.3,3.7,ENE,SSE,,5.8,69
2024,05,18,13,10,0.8,0.7,9.1,0.2,3.7,E,S,,6.2,83
2024,05,18,12,40,0.8,0.7,7.7,0.2,3.6,E,SSE,,5.9,100
2024,05,18,12,10,0.8,0.7,10.0,0.2,3.6,E,SSE,,6.1,82
2024,05,18,11,40,0.8,0.7,10.8,0.3,3.2,E,SSE,,6.1,100
2024,05,18,11,10,0.7,0.7,10.0,0.3,4.0,E,SE,,6.0,82
2024,05,18,10,40,0.8,0.7,9.1,0.2,4.0,E,SE,,6.1,80
2024,05,18,10,10,0.8,0.7,9.1,0.2,3.4,ENE,SE,,6.3,69
2024,05,18,09,40,0.8,0.7,10.0,0.2,4.0,E,SE,,6.1,82
2024,05,18,09,10,0.8,0.7,10.8,0.2,4.0,E,SSE,,6.2,90
2024,05,18,08,40,0.8,0.7,10.8,0.2,4.0,ESE,SSE,,6.4,105
2024,05,18,08,10,0.7,0.7,10.0,0.2,3.4,E,SE,,6.2,86
2024,05,18,07,40,0.8,0.8,10.8,0.2,4.0,E,SE,,6.5,96
2024,05,18,07,10,0.7,0.7,10.0,0.2,3.7,ENE,SE,,6.1,78
2024,05,18,06,40,0.8,0.7,8.3,0.2,3.4,ESE,SSE,,6.1,105
2024,05,18,06,10,0.8,0.8,10.0,0.3,4.0,ENE,SE,SWELL,6.3,73
2024,05,18,05,40,0.7,0.7,10.8,0.3,3.7,E,SE,,5.9,85
2024,05,18,05,10,0.8,0.7,10.0,0.3,3.4,E,SE,,5.9,91
2024,05,18,04,40,0.8,0.8,9.1,0.3,4.0,E,SE,SWELL,6.3,80
2024,05,18,04,10,0.8,0.8,8.3,0.3,3.8,E,SE,SWELL,6.3,93
2024,05,18,03,40,0.8,0.7,10.8,0.3,3.8,E,SE,,5.9,86
2024,05,18,03,10,0.8,0.7,10.8,0.3,4.0,E,SSE,SWELL,6.0,83
2024,05,18,02,40,0.8,0.7,8.3,0.3,4.0,E,SSE,,5.9,93
2024,05,18,02,10,0.8,0.7,9.1,0.3,3.8,ENE,SSE,,5.9,67
2024,05,18,01,40,0.8,0.8,8.3,0.3,4.0,E,SSE,SWELL,5.9,90
2024,05,18,01,10,0.8,0.8,10.0,0.3,4.0,E,SSE,SWELL,6.0,85
2024,05,18,00,40,0.8,0.7,8.3,0.3,3.0,E,SSE,,5.7,97
2024,05,18,00,10,0.8,0.7,10.0,0.3,3.6,E,SE,SWELL,5.7,85
2024,05,17,23,40,0.7,0.7,9.1,0.3,3.7,ENE,SSE,,5.6,78
2024,05,17,23,10,0.8,0.7,8.3,0.3,4.0,E,SSE,,5.5,90
