#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,00,0.4,0.4,7.7,0.1,2.5,S,SW,,5.2,178
2024,05,18,16,00,0.4,0.3,8.3,0.1,2.7,S,SW,,5.1,172
2024,05,18,15,00,0.4,0.3,7.7,0.2,2.9,S,SW,,4.5,169
2024,05,18,14,00,0.4,0.3,7.7,0.2,2.9,S,SW,,4.0,175
2024,05,18,13,00,0.4,0.3,7.1,0.2,3.0,S,SW,,3.9,173
2024,05,18,12,00,0.4,0.3,7.7,0.3,3.0,SSE,SW,,3.8,168
2024,05,18,11,00,0.4,0.3,7.7,0.2,2.7,S,SW,,3.9,175
2024,05,18,10,00,0.3,0.3,8.3,0.1,2.4,S,S,,4.7,180
2024,05,18,09,00,0.3,0.3,6.2,0.1,4.0,S,S,,6.0,170
2024,05,18,08,00,0.3,0.3,5.9,0.1,3.6,SSE,S,,5.7,168
2024,05,18,07,00,0.3,0.3,6.2,0.1,3.6,S,S,,5.8,172
2024,05,18,06,00,0.3,0.3,6.2,0.1,3.7,S,S,,5.6,175
2024,05,18,05,00,0.3,0.3,6.7,0.1,3.8,S,W,,5.6,171
2024,05,18,04,00,0.3,0.3,7.1,0.1,4.0,S,SSE,,5.7,170
2024,05,18,03,00,0.3,0.3,13.8,0.1,3.8,N,S,,5.5,358
2024,05,18,02,00,0.3,0.3,7.7,0.1,3.3,S,S,,5.9,170
2024,05,18,01,00,0.3,0.3,6.7,0.1,4.0,S,S,,6.1,174
2024,05,18,00,00,0.3,0.3,7.1,0.1,3.3,S,S,,6.3,170
2024,05,17,23,00,0.3,0.3,6.7,0.1,4.0,SSE,S,,6.4,168
2024,05,17,22,00,0.3,0.3,7.7,0.1,3.4,SSW,SW,,6.6,198
2024,05,17,21,00,0.3,0.2,7.1,0.1,3.2,SSW,WSW,,5.4,192
2024,05,17,20,00,0.3,0.2,7.1,0.1,2.4,SSW,WNW,,5.5,196
2024,05,17,19,00,0.3,0.2,6.7,0.1,3.8,S,S,,5.3,180
2024,05,17,18,00,0.3,0.3,6.2,0.1,2.2,S,ENE,,4.4,177
2024,05,17,17,00,0.3,0.3,5.9,0.1,3.7,S,S,,4.7,183
2024,05,17,16,00,0.3,0.2,5.9,0.2,3.8,S,S,,3.9,184
2024,05,17,15,00,0.3,0.3,6.7,0.2,3.7,S,S,,4.5,184
2024,05,17,14,00,0.4,0.3,6.2,0.2,2.4,S,NE,,4.3,180
2024,05,17,13,00,0.3,0.3,5.9,0.1,3.6,S,S,,5.3,180
2024,05,17,12,00,0.3,0.3,6.7,0.1,3.6,SSW,SSW,,5.7,197
2024,05,17,11,00,0.3,0.3,6.7,0.1,2.7,SSW,SSW,,5.1,198
2024,05,17,10,00,0.3,0.3,6.2,0.1,2.5,S,S,,4.8,171
2024,05,17,09,00,0.3,0.3,7.1,0.1,2.4,S,S,,5.0,176
2024,05,17,08,00,0.3,0.3,7.1,0.1,3.3,S,SSE,,5.4,170
2024,05,17,07,00,0.3,0.3,7.1,0.1,3.7,S,S,,4.8,171
2024,05,17,06,00,0.3,0.3,6.7,0.2,4.0,S,SSE,,4.3,171
2024,05,17,05,00,0.3,0.3,6.7,0.2,3.6,S,S,,4.4,171
2024,05,17,04,00,0.4,0.4,7.1,0.2,2.2,SSE,SSE,,4.7,168
2024,05,17,03,00,0.3,0.3,7.1,0.2,3.4,SSE,SSE,,4.7,166
2024,05,17,02,00,0.3,0.3,7.1,0.1,3.8,S,SSE,,5.2,174
2024,05,17,01,00,0.4,0.4,5.6,0.1,4.0,S,S,,5.5,186
2024,05,17,00,00,0.4,0.4,7.7,0.1,3.7,SSW,SSW,,5.7,197
2024,05,16,23,00,0.4,0.4,7.1,0.1,3.6,SSW,SSW,,5.8,200
2024,05,16,22,00,0.3,0.3,7.1,0.1,3.3,SSW,SSW,,5.6,199
2024,05,16,21,00,0.3,0.3,14.8,0.1,3.6,S,S,,5.1,184
2024,05,16,20,00,0.3,0.3,14.8,0.1,2.4,SSW,WSW,,4.6,206
2024,05,16,19,00,0.3,0.3,14.8,0.1,4.0,SSE,S,,4.6,154
2024,05,16,18,00,0.3,0.3,14.8,0.2,3.8,ENE,S,,4.4,69
2024,05,16,17,00,0.3,0.3,14.8,0.2,3.2,SW,SSW,,4.2,223
2024,05,16,16,00,0.4,0.3,14.8,0.2,3.8,S,S,,4.0,186
2024,05,16,15,00,0.5,0.4,5.0,0.4,3.8,S,SSW,,3.7,193
2024,05,16,14,00,0.5,0.3,5.6,0.5,3.4,S,SSW,,3.5,196
2024,05,16,13,00,0.6,0.4,4.3,0.4,3.7,S,SSW,,3.8,188
2024,05,16,12,00,0.6,0.2,14.8,0.6,3.8,SSW,SSW,,3.6,211
2024,05,16,11,00,0.6,0.2,12.1,0.6,3.6,S,SW,,3.5,222
2024,05,16,10,00,0.6,0.2,14.8,0.5,3.7,E,SW,,3.3,224
2024,05,16,09,00,0.5,0.3,7.1,0.4,3.2,SSE,SW,,3.5,231
2024,05,16,08,00,0.5,0.3,7.7,0.4,3.8,SSE,WSW,,3.5,237
2024,05,16,07,00,0.5,0.3,7.1,0.4,3.4,S,SW,,3.5,214
2024,05,16,06,00,0.5,0.2,7.7,0.4,2.7,SSE,SW,,3.3,153
2024,05,16,05,00,0.3,0.2,8.3,0.3,4.0,S,SSW,,4.3,180
2024,05,16,04,00,0.3,0.2,14.8,0.1,4.0,SSE,S,,5.0,153
2024,05,16,03,00,0.3,0.3,14.8,0.1,3.8,SSW,S,,6.5,200
2024,05,16,02,00,0.3,0.3,14.8,0.1,4.0,S,S,,6.8,170
2024,05,16,01,00,0.3,0.2,14.8,0.1,3.6,SSE,S,,6.7,163
2024,05,16,00,00,0.3,0.2,8.3,0.1,3.4,S,S,,6.7,175
2024,05,15,23,00,0.2,MM,MM,MM,MM,MM,MM,,6.6,-99
2024,05,15,22,00,0.2,MM,MM,MM,MM,MM,MM,,6.3,-99
2024,05,15,21,00,0.2,MM,MM,MM,MM,MM,MM,,5.7,-99
2024,05,15,20,00,0.2,MM,MM,MM,MM,MM,MM,,5.6,-99
2024,05,15,19,00,0.3,0.2,16.0,0.1,2.6,SW,WSW,,5.1,214
2024,05,15,18,00,0.2,MM,MM,MM,MM,MM,MM,,5.3,-99
2024,05,15,17,00,0.2,MM,MM,MM,MM,MM,MM,,4.7,-99
2024,05,15,16,00,0.3,0.2,16.0,0.2,3.2,ENE,SW,,3.9,74
2024,05,15,15,00,0.4,0.2,16.0,0.3,3.4,SSE,WSW,,3.7,166
2024,05,15,14,00,0.4,0.3,16.0,0.3,3.0,SSE,SW,,3.7,148
2024,05,15,13,00,0.4,0.2,8.3,0.3,3.4,S,SW,,3.4,227
2024,05,15,12,00,0.4,0.2,8.3,0.4,3.6,S,SW,,3.4,217
2024,05,15,11,00,0.5,0.2,8.3,0.4,3.7,S,SW,,3.3,221
2024,05,15,10,00,0.6,0.2,8.3,0.5,3.7,S,SW,,3.5,217
2024,05,15,09,00,0.6,0.2,16.0,0.5,3.8,SSE,SW,,3.4,216
2024,05,15,08,00,0.5,0.2,9.1,0.5,3.3,S,SW,,3.2,215
2024,05,15,07,00,0.3,0.2,16.0,0.2,2.7,SE,SW,,3.6,124
2024,05,15,06,00,0.3,0.2,9.1,0.1,2.4,S,WSW,,4.2,175
2024,05,15,05,00,0.3,0.3,9.1,0.1,2.1,SSE,WSW,,5.9,166
2024,05,15,04,00,0.3,0.3,9.1,0.1,3.8,S,S,,6.4,173
2024,05,15,03,00,0.3,0.3,7.7,0.1,3.1,SSE,S,,6.6,161
2024,05,15,02,00,0.3,0.3,8.3,0.1,3.1,S,S,,6.7,172
2024,05,15,01,00,0.3,0.3,9.1,0.1,3.7,SSE,S,,7.1,163
2024,05,15,00,00,0.3,0.3,9.1,0.1,3.8,S,SSE,,7.3,172
2024,05,14,23,00,0.4,0.4,8.3,0.1,4.0,S,S,,7.1,177
2024,05,14,22,00,0.3,0.3,9.1,0.1,3.0,S,WSW,,7.0,184
2024,05,14,21,00,0.3,0.3,9.1,0.1,3.6,S,S,,6.5,180
2024,05,14,20,00,0.3,0.3,9.1,0.1,2.9,SSE,SSE,,7.0,165
2024,05,14,19,00,0.3,0.3,10.0,0.1,4.0,S,S,,6.4,180
2024,05,14,18,00,0.3,0.3,10.0,0.1,4.0,S,S,,5.5,173
2024,05,14,17,00,0.3,0.2,10.0,0.1,2.2,SSE,ENE,,4.2,162
2024,05,14,16,00,0.3,0.2,17.4,0.2,2.5,SE,E,,3.4,126
2024,05,14,15,00,0.4,0.3,10.8,0.3,2.9,SSW,E,,3.5,209
2024,05,14,14,00,0.4,0.3,11.4,0.3,2.9,SSE,E,,3.3,158
2024,05,14,13,00,0.4,0.3,17.4,0.2,2.2,SSE,ESE,,4.0,158
