#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
2024,05,18,17,10,1.7,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,96
2024,05,18,16,40,1.7,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,94
2024,05,18,16,10,1.8,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,100
2024,05,18,15,40,1.8,MM,MM,MM,MM,MM,MM,STEEP,5.5,105
2024,05,18,15,10,1.8,MM,MM,MM,MM,MM,MM,STEEP,5.6,110
2024,05,18,14,40,1.9,MM,MM,MM,MM,MM,MM,STEEP,5.5,119
2024,05,18,14,10,1.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,113
2024,05,18,13,40,1.9,MM,MM,MM,MM,MM,MM,STEEP,5.4,117
2024,05,18,13,10,1.8,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,128
2024,05,18,12,40,1.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,118
2024,05,18,12,10,1.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,120
2024,05,18,11,40,1.8,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,125
2024,05,18,11,10,1.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,120
2024,05,18,10,40,1.7,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,125
2024,05,18,10,10,1.9,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,116
2024,05,18,09,40,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.2,124
2024,05,18,09,10,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.1,121
2024,05,18,08,40,1.6,MM,MM,MM,MM,MM,MM,VERY_STEEP,5.0,104
2024,05,18,08,10,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.1,115
2024,05,18,07,40,1.7,MM,MM,MM,MM,MM,MM,STEEP,5.1,113
2024,05,18,07,10,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,116
2024,05,18,06,40,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.1,125
2024,05,18,06,10,1.7,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,120
2024,05,18,05,40,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,105
2024,05,18,05,10,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,112
2024,05,18,04,40,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,113
2024,05,18,04,10,1.7,MM,MM,MM,MM,MM,MM,STEEP,5.6,106
2024,05,18,03,40,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,109
2024,05,18,03,10,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.3,112
2024,05,18,02,40,1.7,MM,MM,MM,MM,MM,MM,AVERAGE,5.9,114
2024,05,18,02,10,1.7,MM,MM,MM,MM,MM,MM,STEEP,5.8,115
2024,05,18,01,40,1.7,MM,MM,MM,MM,MM,MM,AVERAGE,5.9,119
2024,05,18,01,10,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.9,123
2024,05,18,00,40,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,5.8,128
2024,05,18,00,10,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.7,125
2024,05,17,23,40,1.6,MM,MM,MM,MM,MM,MM,AVERAGE,6.0,129
2024,05,17,23,10,1.5,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,129
2024,05,17,22,40,1.4,MM,MM,MM,MM,MM,MM,AVERAGE,5.5,137
2024,05,17,22,10,1.4,MM,MM,MM,MM,MM,MM,AVERAGE,5.6,130
2024,05,17,21,40,1.3,MM,MM,MM,MM,MM,MM,,5.4,121
2024,05,17,21,10,1.3,MM,MM,MM,MM,MM,MM,AVERAGE,5.4,118
2024,05,17,20,40,1.3,MM,MM,MM,MM,MM,MM,AVERAGE,5.2,117
2024,05,17,20,10,1.4,MM,MM,MM,MM,MM,MM,,5.2,136
2024,05,17,19,40,1.4,MM,MM,MM,MM,MM,MM,,5.3,123
2024,05,17,19,10,1.4,MM,MM,MM,MM,MM,MM,,5.2,129
2024,05,17,18,40,1.4,MM,MM,MM,MM,MM,MM,,5.2,119
2024,05,17,18,10,1.4,MM,MM,MM,MM,MM,MM,,5.3,126
2024,05,17,17,40,1.5,MM,MM,MM,MM,MM,MM,,5.4,136
